# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_truncation	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_premature_start_codon_gain_variant	variants_effect_5_prime_UTR_truncation	variants_effect_5_prime_UTR_variant	variants_effect_conservative_inframe_deletion	variants_effect_conservative_inframe_insertion	variants_effect_disruptive_inframe_deletion	variants_effect_disruptive_inframe_insertion	variants_effect_downstream_gene_variant	variants_effect_exon_loss_variant	variants_effect_frameshift_variant	variants_effect_initiator_codon_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_canonical_start_codon	variants_effect_non_coding_transcript_variant	variants_effect_splice_acceptor_variant	variants_effect_splice_donor_variant	variants_effect_splice_region_variant	variants_effect_start_lost	variants_effect_stop_gained	variants_effect_stop_lost	variants_effect_stop_retained_variant	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
jgi.p|Rhisto1|126327	gene_9617	mRNA_9617	protein_coding	0	0	0	63	0	0	0	0	1	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37
jgi.p|Rhisto1|126329	gene_9618	mRNA_9618	protein_coding	0	4	0	53	0	0	0	0	1	0	0	0	0	32	0	0	0	4	0	0	0	0	0	2	0	0	0	0	2	18
jgi.p|Rhisto1|12671	gene_373	mRNA_373	protein_coding	0	1	1	66	0	0	0	0	0	0	0	0	0	23	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	43
jgi.p|Rhisto1|12681	gene_374	mRNA_374	protein_coding	0	2	3	70	0	0	0	0	0	0	0	0	0	21	0	0	0	8	3	0	0	0	0	2	0	0	0	0	0	43
jgi.p|Rhisto1|127871	gene_9659	mRNA_9659	protein_coding	3	0	1	115	0	1	0	0	0	0	0	0	0	63	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	51
jgi.p|Rhisto1|128191	gene_9668	mRNA_9668	protein_coding	0	1	1	83	0	5	0	0	0	0	0	1	0	65	0	0	0	3	0	0	0	0	0	0	0	0	0	0	1	10
jgi.p|Rhisto1|129100	gene_8698	mRNA_8698	protein_coding	0	0	2	62	0	0	0	0	0	0	0	0	2	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23
jgi.p|Rhisto1|129166	gene_8705	mRNA_8705	protein_coding	4	17	7	51	0	0	0	0	0	0	1	1	0	24	0	4	0	5	5	0	0	0	0	1	0	0	0	0	16	23
jgi.p|Rhisto1|13037	gene_387	mRNA_387	protein_coding	0	2	1	65	0	0	0	0	0	0	0	0	0	29	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	36
jgi.p|Rhisto1|130426	gene_8736	mRNA_8736	protein_coding	1	9	8	59	0	1	0	0	1	0	3	0	2	12	0	1	0	1	3	0	0	0	0	0	0	0	0	0	9	44
jgi.p|Rhisto1|131315	gene_8777	mRNA_8777	protein_coding	0	1	1	47	0	0	0	0	1	0	0	0	0	12	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	34
jgi.p|Rhisto1|131350	gene_8779	mRNA_8779	protein_coding	0	3	0	23	0	0	0	0	0	0	0	0	0	10	0	0	0	3	0	0	0	0	0	3	0	0	0	0	0	13
jgi.p|Rhisto1|131453	gene_8781	mRNA_8781	protein_coding	1	0	0	48	0	1	0	0	0	0	0	0	0	33	0	0	0	4	0	0	0	1	0	0	0	0	0	0	0	11
jgi.p|Rhisto1|131606	gene_8788	mRNA_8788	protein_coding	3	1	1	59	0	1	1	0	2	0	1	0	0	25	0	2	0	0	1	0	0	0	0	0	3	0	0	0	0	31
jgi.p|Rhisto1|131730	gene_8795	mRNA_8795	protein_coding	0	0	1	99	0	0	0	0	11	0	0	0	0	54	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	34
jgi.p|Rhisto1|133539	gene_8839	mRNA_8839	protein_coding	0	4	7	126	0	0	0	0	4	0	1	1	0	48	0	0	0	13	5	0	0	0	0	3	0	0	0	0	1	64
jgi.p|Rhisto1|133849	gene_8845	mRNA_8845	protein_coding	0	2	0	117	0	3	1	0	3	0	0	0	0	35	0	0	0	14	0	0	0	0	0	0	0	0	0	0	1	62
jgi.p|Rhisto1|133979	gene_8854	mRNA_8854	protein_coding	0	3	0	88	0	0	1	0	2	0	0	0	0	39	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	45
jgi.p|Rhisto1|134175	gene_8872	mRNA_8872	protein_coding	0	1	0	68	0	0	0	0	1	0	0	0	0	22	0	0	0	3	0	0	0	0	0	0	0	0	0	0	1	42
jgi.p|Rhisto1|134508	gene_8882	mRNA_8882	protein_coding	0	3	0	85	0	1	0	0	0	0	0	0	0	40	0	0	0	12	0	0	0	0	0	1	0	0	0	0	2	33
jgi.p|Rhisto1|135744	gene_8928	mRNA_8928	protein_coding	1	0	0	87	0	3	0	0	7	0	0	0	0	38	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	38
jgi.p|Rhisto1|135819	gene_8932	mRNA_8932	protein_coding	4	5	7	116	0	0	0	0	0	0	1	2	1	43	0	4	0	3	3	0	0	0	0	0	0	0	0	0	5	70
jgi.p|Rhisto1|136007	gene_8938	mRNA_8938	protein_coding	0	2	1	88	0	0	0	0	1	0	0	0	0	27	0	0	0	14	1	0	0	0	0	1	0	0	0	0	1	47
jgi.p|Rhisto1|136073	gene_8939	mRNA_8939	protein_coding	0	0	0	73	0	0	0	0	5	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23
jgi.p|Rhisto1|136238	gene_8943	mRNA_8943	protein_coding	0	1	1	51	0	2	0	0	0	0	0	0	0	21	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	27
jgi.p|Rhisto1|136325	gene_8946	mRNA_8946	protein_coding	0	0	1	55	0	2	0	0	1	0	0	1	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27
jgi.p|Rhisto1|136708	gene_8961	mRNA_8961	protein_coding	0	2	1	62	0	0	0	0	0	0	0	0	0	27	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	35
jgi.p|Rhisto1|136889	gene_8964	mRNA_8964	protein_coding	0	5	0	60	0	1	1	0	1	0	0	0	0	18	0	0	0	5	0	0	0	0	0	4	0	0	0	0	0	39
jgi.p|Rhisto1|137048	gene_8971	mRNA_8971	protein_coding	4	2	0	86	0	0	0	0	0	0	0	0	0	55	0	4	0	3	0	0	0	0	0	0	0	0	0	0	2	28
jgi.p|Rhisto1|137059	gene_8975	mRNA_8975	protein_coding	0	4	0	86	0	0	0	0	0	0	0	0	0	54	0	0	0	3	0	0	0	0	0	0	0	0	0	0	4	29
jgi.p|Rhisto1|137062	gene_8974	mRNA_8974	protein_coding	0	1	0	87	0	0	0	0	1	0	0	0	0	40	0	0	0	3	0	0	0	0	0	0	0	0	0	0	1	43
jgi.p|Rhisto1|137778	gene_8992	mRNA_8992	protein_coding	0	7	0	103	0	0	0	0	4	0	0	0	0	41	0	0	0	18	0	0	0	0	0	4	0	0	0	0	3	44
jgi.p|Rhisto1|137901	gene_8996	mRNA_8996	protein_coding	0	2	1	67	0	0	1	0	1	0	0	0	0	23	0	0	0	4	1	0	0	0	0	0	0	0	0	0	1	39
jgi.p|Rhisto1|138147	gene_9009	mRNA_9009	protein_coding	0	1	2	93	0	0	0	0	2	0	0	0	0	39	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	52
jgi.p|Rhisto1|140262	gene_10017	mRNA_10017	protein_coding	1	14	9	108	0	0	1	0	13	0	0	0	0	48	0	0	0	8	9	0	0	0	0	0	0	1	0	0	13	39
jgi.p|Rhisto1|140993	gene_10045	mRNA_10045	protein_coding	0	1	0	100	0	2	0	0	1	0	0	0	0	59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	38
jgi.p|Rhisto1|141349	gene_10049	mRNA_10049	protein_coding	0	3	1	146	0	0	0	0	2	0	0	0	0	49	0	0	0	13	1	0	2	0	0	3	0	0	0	0	0	83
jgi.p|Rhisto1|141357	gene_10048	mRNA_10048	protein_coding	0	2	0	139	0	0	0	0	1	0	0	0	0	49	0	0	0	6	0	0	0	0	0	2	0	0	0	0	0	85
jgi.p|Rhisto1|142037	gene_10065	mRNA_10065	protein_coding	0	3	2	98	0	3	0	0	4	0	0	0	0	42	0	0	0	8	2	0	0	0	0	1	0	0	0	0	2	42
jgi.p|Rhisto1|142128	gene_10070	mRNA_10070	protein_coding	0	1	5	84	0	0	0	0	0	0	1	0	0	33	0	0	0	0	4	0	0	0	0	0	0	0	0	0	1	51
jgi.p|Rhisto1|142255	gene_10073	mRNA_10073	protein_coding	3	2	0	101	0	0	0	0	0	0	0	0	0	43	0	3	0	11	0	0	0	0	0	2	0	0	0	0	0	49
jgi.p|Rhisto1|142256	gene_10074	mRNA_10074	protein_coding	0	3	1	98	0	0	0	0	3	0	0	0	0	42	0	0	0	2	1	0	0	0	0	1	0	0	0	0	2	52
jgi.p|Rhisto1|143438	gene_10116	mRNA_10116	protein_coding	0	4	2	68	0	1	0	0	1	0	0	0	0	30	0	0	0	8	2	0	0	0	0	2	0	0	0	0	2	30
jgi.p|Rhisto1|143552	gene_10119	mRNA_10119	protein_coding	0	3	3	90	0	0	0	0	0	0	0	0	0	33	0	0	0	6	3	0	0	0	0	0	0	0	0	0	3	51
jgi.p|Rhisto1|143974	gene_10131	mRNA_10131	protein_coding	0	2	2	134	0	0	0	0	1	0	0	0	0	62	0	0	0	9	2	0	0	0	0	2	0	0	0	0	0	64
jgi.p|Rhisto1|144045	gene_10132	mRNA_10132	protein_coding	0	0	2	116	0	3	0	0	3	0	0	0	1	27	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	82
jgi.p|Rhisto1|144146	gene_10137	mRNA_10137	protein_coding	0	0	0	84	0	0	0	0	2	0	0	0	0	42	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	38
jgi.p|Rhisto1|144157	gene_10136	mRNA_10136	protein_coding	0	1	1	77	0	3	0	0	0	0	0	0	0	23	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	51
jgi.p|Rhisto1|144418	gene_10150	mRNA_10150	protein_coding	0	1	0	133	0	0	0	0	3	0	0	0	0	66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	64
jgi.p|Rhisto1|144496	gene_10155	mRNA_10155	protein_coding	1	2	0	127	0	0	0	0	6	0	0	0	0	47	0	0	0	6	0	0	0	1	0	3	0	0	0	0	0	71
jgi.p|Rhisto1|144579	gene_10157	mRNA_10157	protein_coding	0	3	1	150	0	0	0	0	3	0	0	1	0	85	0	0	0	6	0	0	0	0	0	1	0	0	0	0	2	57
jgi.p|Rhisto1|145359	gene_10173	mRNA_10173	protein_coding	0	1	1	94	0	0	0	0	8	0	0	0	0	37	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	49
jgi.p|Rhisto1|146045	gene_10194	mRNA_10194	protein_coding	1	0	0	48	0	0	0	0	0	0	0	0	0	18	0	1	0	6	0	0	0	0	0	0	1	0	0	0	0	24
jgi.p|Rhisto1|146218	gene_10198	mRNA_10198	protein_coding	0	2	1	48	0	1	0	0	0	0	1	0	0	22	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	23
jgi.p|Rhisto1|146670	gene_10209	mRNA_10209	protein_coding	0	1	0	77	0	0	0	0	0	0	0	0	0	42	0	0	0	4	0	0	0	0	0	0	0	0	0	0	1	31
jgi.p|Rhisto1|146813	gene_10218	mRNA_10218	protein_coding	0	3	1	94	0	3	0	0	1	0	0	0	0	56	0	0	0	6	1	0	0	0	0	2	0	0	0	0	1	30
jgi.p|Rhisto1|147475	gene_10236	mRNA_10236	protein_coding	1	4	0	109	0	4	0	0	2	0	0	0	0	51	0	0	0	10	0	0	0	1	0	3	0	0	0	0	2	45
jgi.p|Rhisto1|147488	gene_10238	mRNA_10238	protein_coding	0	2	1	126	0	1	0	0	3	0	0	0	0	41	0	0	0	8	1	0	1	0	0	2	0	0	0	0	1	73
jgi.p|Rhisto1|148030	gene_10256	mRNA_10256	protein_coding	0	0	4	41	0	0	0	0	3	0	0	0	0	24	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	14
jgi.p|Rhisto1|148449	gene_10275	mRNA_10275	protein_coding	0	6	0	100	0	0	0	0	1	0	0	0	0	42	0	0	0	5	0	0	0	0	0	1	0	0	0	0	5	53
jgi.p|Rhisto1|148739	gene_10282	mRNA_10282	protein_coding	0	2	2	101	0	0	0	0	0	0	0	0	0	49	0	0	0	9	2	0	0	0	0	0	0	0	0	0	2	43
jgi.p|Rhisto1|149895	gene_10314	mRNA_10314	protein_coding	3	2	2	31	0	1	0	0	1	0	0	0	0	7	0	0	0	10	2	0	0	3	0	0	0	0	0	0	2	15
jgi.p|Rhisto1|150237	gene_10318	mRNA_10318	protein_coding	2	0	1	88	0	0	0	0	1	0	0	0	0	44	0	2	0	6	1	0	0	0	0	0	0	0	0	0	0	37
jgi.p|Rhisto1|150278	gene_10320	mRNA_10320	protein_coding	0	4	1	81	0	4	0	0	3	0	0	0	0	30	0	0	0	3	1	0	3	0	0	3	0	0	0	0	1	38
jgi.p|Rhisto1|150438	gene_10324	mRNA_10324	protein_coding	0	1	1	70	0	0	0	0	0	0	0	0	0	36	0	0	0	5	1	0	0	0	0	1	0	0	0	0	0	30
jgi.p|Rhisto1|150597	gene_10332	mRNA_10332	protein_coding	0	3	0	56	0	0	0	0	0	0	0	0	0	21	0	0	0	6	0	0	0	0	0	2	0	0	0	0	1	31
jgi.p|Rhisto1|151233	gene_10344	mRNA_10344	protein_coding	0	6	5	85	0	2	0	0	1	0	0	0	0	30	0	0	0	16	5	0	0	0	0	3	0	0	0	0	3	39
jgi.p|Rhisto1|151252	gene_10343	mRNA_10343	protein_coding	1	3	3	71	0	0	0	0	0	0	0	2	0	35	0	1	0	3	1	0	0	0	0	1	1	0	0	0	2	34
jgi.p|Rhisto1|151631	gene_10350	mRNA_10350	protein_coding	0	3	1	120	0	0	0	0	0	0	0	0	0	55	0	0	0	6	1	0	0	0	0	2	0	0	0	0	1	61
jgi.p|Rhisto1|151979	gene_10361	mRNA_10361	protein_coding	3	6	4	96	0	0	0	0	2	0	0	0	0	37	0	3	0	7	4	0	0	0	0	2	0	0	0	0	5	51
jgi.p|Rhisto1|151999	gene_10362	mRNA_10362	protein_coding	0	6	17	62	0	1	0	0	0	0	1	4	2	25	0	0	0	0	10	0	0	0	0	0	0	0	0	0	6	36
jgi.p|Rhisto1|152019	gene_10364	mRNA_10364	protein_coding	0	0	2	107	0	1	0	0	0	0	0	0	0	54	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	52
jgi.p|Rhisto1|152087	gene_10369	mRNA_10369	protein_coding	0	1	2	111	0	0	0	0	0	0	1	1	0	50	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	59
jgi.p|Rhisto1|152129	gene_10367	mRNA_10367	protein_coding	0	0	0	93	0	0	0	0	2	0	0	0	0	40	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	49
